sku_id,generated_name,recommend_index,rank_v1,recommend_index_v2,rank_v2,aspect_sentiment_mean,aspect_positive_ratio,aspect_negative_ratio,absa_confidence_mean,rank_change,score_change
16290978197,华为 手机（手机收到了、手机已收到、物流也很快、屏幕大、屏幕分辨率挺高的、也好看）,78.97,47,-31.1,30,0.8365010097622871,0.9166666666666666,0.0416666666666666,0.9373319943745932,17,
6610412,小米 l885 手机,79.6,44,-31.5,31,0.8217281838258107,0.9,0.0555555555555555,0.9363608052333195,13,
26697273746,华为 手机（手机不错、手机很漂亮、值得购买、支持国货、支持国产、相信华为）,79.13,45,-32.300000000000004,32,0.8256061056564594,0.9310344827586208,0.0689655172413793,0.9596314985176612,13,
29659404127,小米 手机（支持小米、运行很流畅、性价比很高、手机不错、手机很漂亮、值得购买）,82.32,26,-16.950000000000003,13,0.8976929269987961,0.9655172413793104,0.0344827586206896,0.9551188123637232,13,
8240587,华为 a3 手机,82.6,24,-16.450000000000003,12,0.8648370118892711,0.9239130434782608,0.0326086956521739,0.9472532476419988,12,
25834204287,手机（物流很快、物流也很快、包装完整、手机收到了、手机已收到）,84.04,17,-10.45,6,0.913518942132288,0.9387755102040816,0.0204081632653061,0.9785890737358404,11,
20898196348,荣耀 mate8 手机,80.7,39,-29.200000000000006,29,0.7896342356999715,0.8666666666666667,0.0666666666666666,0.952402420838674,10,
25531193076,华为 r11 手机,81.6,33,-24.15,23,0.8578723846003413,0.9375,0.0625,0.9486805023625492,10,
26128018111,手机（手机不错、手机很漂亮、值得购买、信赖京东、相信京东、是正品）,85.1,13,-8.75,3,0.877258186754973,0.9130434782608696,0.0,0.9511976371640743,10,
29196113704,小米 a22 手机,85.09,14,-9.750000000000002,5,0.8936292205167853,0.9347826086956522,0.0,0.9321067644202192,9,
7651927,小米 红米6 手机,82.59,25,-20.65,18,0.7836331136086407,0.8705882352941177,0.0235294117647058,0.8818444511469673,7,
28672267256,华为 手机（屏幕大、屏幕分辨率挺高的、也好看、手机不错、手机很漂亮、值得购买）,85.91,11,-9.7,4,0.8944989783423287,0.9523809523809524,0.0476190476190476,0.986131503468468,7,
29619588672,小米 手机（手机不错、手机很漂亮、值得购买、支持小米、运行很流畅、性价比很高）,82.91,21,-17.55,14,0.7997255976810012,0.8604651162790697,0.0465116279069767,0.948273969251056,7,
8344046,小米 r15 手机,77.3,54,-41.900000000000006,48,0.7705662325024605,0.8888888888888888,0.0833333333333333,0.9267390403482648,6,
20349124505,华为 mate10 手机,86.92,8,-8.45,2,0.8646388745307922,0.92,0.04,0.94896289229393,6,
7694047,华为 荣耀9i 手机,82.75,22,-20.35,17,0.7796150266406048,0.8674698795180723,0.0481927710843373,0.9221811086298471,5,
7846413,小米8 手机,87.61,6,-7.6,1,0.8512690283598439,0.9516129032258064,0.032258064516129,0.9241919243527996,5,
5663902,华为 荣耀6p 手机,81.6,32,-28.7,28,0.7811007118353279,0.8709677419354839,0.075268817204301,0.9146337832814904,4,
7534113,vivo y83 手机,80.44,40,-33.25,36,0.7745017552127441,0.875,0.0729166666666666,0.9257363093396028,4,
21135280362,华为 手机（还不错、还可以吧、帮朋友买的、给老爸买的、老爸很喜欢、给爸爸买的）,79.9,43,-35.95,39,0.7101016261360862,0.8181818181818182,0.0454545454545454,0.8922622528943148,4,
