sku_id,cat,aspect,aspect_count,aspect_sentiment_mean,aspect_positive_ratio,aspect_negative_ratio,aspect_confidence_mean
2005中国音像电子出版者名录,书籍,整体,1,0.5895419716835022,1.0,0.0,0.5895419716835022
31岁,书籍,作者,1,-0.5500801205635071,0.0,1.0,0.5500801205635071
31岁,书籍,内容,1,-0.6285383105278015,0.0,1.0,0.6285383105278015
31岁小美女养颜经,书籍,整体,1,0.9751002192497252,1.0,0.0,0.9751002192497252
31岁小美女的养顏经,书籍,整体,1,-0.9394472241401672,0.0,1.0,0.9394472241401672
31岁小美女的养颜经,书籍,快递,1,-0.996616542339325,0.0,1.0,0.996616542339325
31岁小美女的养颜经,书籍,整体,2,-0.7855067849159241,0.0,1.0,0.7855067849159241
336酒店,酒店,噪音,1,-0.9691233038902284,0.0,1.0,0.9691233038902284
336酒店,酒店,房间,1,-0.855612576007843,0.0,1.0,0.855612576007843
336酒店,酒店,设施,1,-0.9374816417694092,0.0,1.0,0.9374816417694092
75号苹果,水果,整体,1,0.9155148267745972,1.0,0.0,0.9155148267745972
7分裤,衣服,整体,1,-0.994100034236908,0.0,1.0,0.994100034236908
7天酒店,酒店,房间,1,-0.9935318231582642,0.0,1.0,0.9935318231582642
80公社酒店,酒店,服务,1,0.9743690490722656,1.0,0.0,0.9743690490722656
838手机,手机,系统,1,0.0,0.0,0.0,0.4188154935836792
908手机,手机,屏幕,1,-0.9227014183998108,0.0,1.0,0.9227014183998108
950手机,手机,整体,1,-0.9797930717468262,0.0,1.0,0.9797930717468262
960手机,手机,整体,1,-0.9914031624794006,0.0,1.0,0.9914031624794006
A08手机,手机,客服,1,-0.9693045616149902,0.0,1.0,0.9693045616149902
A100,手机,屏幕,1,0.9782671928405762,1.0,0.0,0.9782671928405762
A100手机,手机,屏幕,1,0.9669474959373474,1.0,0.0,0.9669474959373474
A200手机,手机,整体,1,-0.7365270256996155,0.0,1.0,0.7365270256996155
A310手机,手机,整体,1,-0.992078959941864,0.0,1.0,0.992078959941864
A316手机,手机,整体,1,-0.9791328310966492,0.0,1.0,0.9791328310966492
A500手机,手机,屏幕,1,0.9853575825691224,1.0,0.0,0.9853575825691224
A62手机,手机,信号,1,0.0,0.0,0.0,0.488988310098648
A62手机,手机,客服,1,0.0,0.0,0.0,0.8408395648002625
A62手机,手机,拍照,1,0.0,0.0,0.0,0.9438915848731996
A62手机,手机,服务,1,0.0,0.0,0.0,0.6008095741271973
A800手机,手机,屏幕,1,0.9947142004966736,1.0,0.0,0.9947142004966736
A800手机,手机,整体,1,-0.9305869936943054,0.0,1.0,0.9305869936943054
A96,手机,整体,1,0.996812641620636,1.0,0.0,0.996812641620636
ACCOR酒店,酒店,房间,1,0.7619750499725342,1.0,0.0,0.7619750499725342
ACCOR酒店,酒店,早餐,1,0.6035873293876648,1.0,0.0,0.6035873293876648
ACCOR酒店,酒店,服务,1,0.5304589867591858,1.0,0.0,0.5304589867591858
ACER 422G32,计算机,价格,1,0.9931474328041076,1.0,0.0,0.9931474328041076
ACER 422G32,计算机,性价比,1,0.99221932888031,1.0,0.0,0.99221932888031
ACER 422G32,计算机,性能,1,0.9938247203826904,1.0,0.0,0.9938247203826904
ACER 422G32,计算机,系统,1,0.9951397180557252,1.0,0.0,0.9951397180557252
ACER 4935G,计算机,屏幕,1,-0.947645664215088,0.0,1.0,0.947645664215088
ACER 4935G,计算机,质量,1,-0.9888803958892822,0.0,1.0,0.9888803958892822
ACER电脑,计算机,价格,1,0.7976497411727905,1.0,0.0,0.7976497411727905
ACER电脑,计算机,做工,1,0.9990112781524658,1.0,0.0,0.9990112781524658
ACER电脑,计算机,屏幕,1,-0.9916096329689026,0.0,1.0,0.9916096329689026
ACER电脑,计算机,性价比,2,0.9986879229545593,1.0,0.0,0.9986879229545593
ACER电脑,计算机,系统,1,0.9984048008918762,1.0,0.0,0.9984048008918762
ACER电脑,计算机,质量,1,0.9986889958381652,1.0,0.0,0.9986889958381652
ACER电脑,计算机,键盘,3,0.9948046008745829,1.0,0.0,0.9948046008745829
AF51,手机,整体,1,0.99804425239563,1.0,0.0,0.99804425239563
AF51手机,手机,客服,1,-0.7127374410629272,0.0,1.0,0.7127374410629272
AMD 780G系列电脑,计算机,价格,1,0.9969183206558228,1.0,0.0,0.9969183206558228
AMD 780G系列电脑,计算机,性能,1,0.9981456995010376,1.0,0.0,0.9981456995010376
AMD 780G系列电脑,计算机,散热,1,0.9444174766540528,1.0,0.0,0.9444174766540528
AMD电脑,计算机,性价比,1,0.9988872408866882,1.0,0.0,0.9988872408866882
AMD电脑,计算机,性能,1,0.9981377124786376,1.0,0.0,0.9981377124786376
AMD电脑,计算机,散热,1,0.979583203792572,1.0,0.0,0.979583203792572
AMD电脑,计算机,系统,2,0.006396651268005371,0.5,0.5,0.9921722412109374
ASUS电脑,计算机,包装,2,0.034689158201217596,0.5,0.5,0.9597605764865875
ASUS电脑,计算机,系统,1,0.9802758693695068,1.0,0.0,0.9802758693695068
ASUS电脑,计算机,续航,1,0.996978759765625,1.0,0.0,0.996978759765625
ATI电脑,计算机,整体,1,-0.9975022673606871,0.0,1.0,0.9975022673606871
