sku_id,generated_name,recommend_index,rank_v1,recommend_index_v2,rank_v2,aspect_sentiment_mean,aspect_positive_ratio,aspect_negative_ratio,absa_confidence_mean,rank_change,score_change
5375693,手机（声音大、声音很大、适合老年人用、物流很快、物流也很快、包装完整）,84.83,15,-33.45,37,0.5788346625426236,0.7647058823529411,0.1617647058823529,0.8695402154151131,-22,
5089267,小米6 手机,85.51,12,-32.400000000000006,33,0.521737573311684,0.7127659574468085,0.1595744680851064,0.8644743162266751,-21,
7437788,小米8 手机,89.49,2,-21.25,20,0.6596726985251318,0.8032786885245902,0.0983606557377049,0.8521780918856137,-18,
7283905,小米6x 手机,83.01,19,-32.7,35,0.6176357288309868,0.7978723404255319,0.1382978723404255,0.9076657352295328,-16,
5089275,三星 mate10 手机,87.79,5,-20.85,19,0.6747573601572137,0.8105263157894737,0.0842105263157894,0.8674425288250572,-14,
29002078202,华为 手机（手机不错、手机很漂亮、值得购买、还不错、还可以吧、帮朋友买的）,82.27,28,-38.95,42,0.5896157437357409,0.7586206896551724,0.1724137931034483,0.912179289192989,-14,
5853593,华为 荣耀8 手机,87.96,3,-18.65,15,0.7152409118319315,0.8412698412698413,0.0952380952380952,0.888320907713875,-12,
5402840,手机（给老人买的、给家里老人买的、老人用、声音大、声音很大、适合老年人用）,81.41,34,-39.75000000000001,44,0.6192762240951444,0.7654320987654321,0.1111111111111111,0.8924033318036868,-10,
21845662740,华为 note2 手机,81.03,38,-41.7,47,0.6405873285687488,0.8260869565217391,0.1304347826086956,0.9235119236552196,-9,
12764636413,小米6 手机,81.06,37,-40.05000000000001,45,0.6830269741384607,0.8157894736842105,0.131578947368421,0.9090415788324256,-8,
28328600610,手机（还不错、还可以吧、帮朋友买的）,93.28,1,-12.8,8,0.6606889009475708,0.8,0.0,0.761176347732544,-7,
28409652238,小米 手机（手机收到了、手机已收到、物流也很快、给妈妈买的、给老妈买的、妈妈很喜欢）,81.67,31,-35.9,38,0.6700829210735503,0.7619047619047619,0.0952380952380952,0.886215593133654,-7,
5942439,手机（电池耐用、id、1g、声音大、声音很大、适合老年人用）,78.92,48,-50.25,55,0.5848810756078331,0.7741935483870968,0.1505376344086021,0.9003864690180747,-7,
7321794,华为 p20 手机,84.41,16,-23.95,22,0.7379895096184105,0.8387096774193549,0.086021505376344,0.9063266403572534,-6,
15612619462,魅族 note3 手机,81.41,35,-37.900000000000006,41,0.6992382970121171,0.8518518518518519,0.1296296296296296,0.903119522664282,-6,
7651903,小米 红米6 手机,87.84,4,-14.95,9,0.7610102024945345,0.8545454545454545,0.0909090909090909,0.9400849775834516,-5,
25774787882,oppo r15 手机,82.95,20,-24.200000000000003,24,0.7461325936019421,0.825,0.075,0.9119598008692263,-4,
5001213,小米 mix2 手机,76.93,55,-57.9,59,0.480181338575979,0.6979166666666666,0.2083333333333333,0.8637788773824772,-4,
5019352,荣耀6 手机,78.77,49,-48.0,52,0.6497698161751032,0.8,0.1375,0.91083447560668,-3,
11107032701,小米 手机（给老人买的、给家里老人买的、老人用、还不错、还可以吧、帮朋友买的）,79.04,46,-42.85000000000001,49,0.64190942726352,0.7727272727272727,0.0681818181818181,0.8658762127161026,-3,
